id,value
id_0,26.6258
id_1,61.3809
id_2,20.4564
id_3,28.2136
id_4,10.5565
id_5,35.9
id_6,39.2462
id_7,16.6343
id_8,47.4783
id_9,33.3443
id_10,38.7395
id_11,58.1367
id_12,36.5997
id_13,41.1002
id_14,26.7142
id_15,12.9613
id_16,52.597
id_17,22.3423
id_18,19.3016
id_19,19.772
id_20,15.0205
id_21,28.0963
id_22,36.8303
id_23,9.17529
id_24,57.7808
id_25,44.2862
id_26,28.3264
id_27,9.54006
id_28,29.0185
id_29,35.6283
id_30,18.5514
id_31,12.0206
id_32,16.8498
id_33,6.38888
id_34,18.1762
id_35,39.2435
id_36,19.8074
id_37,28.5865
id_38,6.84534
id_39,59.7431
id_40,47.1275
id_41,16.7876
id_42,49.5947
id_43,18.1976
id_44,43.6423
id_45,50.9216
id_46,61.0338
id_47,39.8644
id_48,50.9692
id_49,41.7427
id_50,30.1792
id_51,24.6583
id_52,41.0954
id_53,25.3932
id_54,38.3512
id_55,39.7333
id_56,24.7665
id_57,21.9758
id_58,37.5136
id_59,31.1673
id_60,15.5583
id_61,23.5045
id_62,31.4317
id_63,54.5638
id_64,48.6039
id_65,26.6008
id_66,40.6422
id_67,54.3955
id_68,27.9283
id_69,38.2097
id_70,64.3443
id_71,52.6806
id_72,43.4509
id_73,11.7139
id_74,12.0937
id_75,35.3434
id_76,60.1672
id_77,3.57974
id_78,44.1396
id_79,39.8209
id_80,8.27831
id_81,22.3133
id_82,8.1774
id_83,33.9068
id_84,10.9083
id_85,5.81535
id_86,16.5004
id_87,12.106
id_88,13.4205
id_89,27.7679
id_90,30.5559
id_91,11.6816
id_92,13.8746
id_93,7.98839
id_94,36.4682
id_95,16.4057
id_96,15.772
id_97,9.07846
id_98,10.9773
id_99,4.32609
id_100,13.2482
id_101,18.5854
id_102,11.4663
id_103,5.76269
id_104,14.123
id_105,37.1191
id_106,27.6068
id_107,8.35686
id_108,16.8633
id_109,16.617
id_110,14.2253
id_111,17.4208
id_112,13.5174
id_113,28.4926
id_114,22.2262
id_115,15.5545
id_116,9.54467
id_117,44.5573
id_118,29.3708
id_119,1.85439
id_120,2.51034
id_121,12.1805
id_122,15.9932
id_123,15.651
id_124,6.89599
id_125,26.4421
id_126,21.567
id_127,13.7549
id_128,20.1614
id_129,18.1882
id_130,4.58721
id_131,36.2073
id_132,14.5383
id_133,26.4183
id_134,23.6657
id_135,20.8509
id_136,10.2941
id_137,20.0187
id_138,77.038
id_139,63.6841
id_140,27.2192
id_141,17.3109
id_142,25.1037
id_143,8.52164
id_144,11.2125
id_145,10.7514
id_146,21.5023
id_147,7.86536
id_148,14.1526
id_149,17.1799
id_150,50.999
id_151,21.5172
id_152,24.5964
id_153,15.7399
id_154,14.8015
id_155,27.7503
id_156,21.8456
id_157,34.2583
id_158,3.59413
id_159,19.9357
id_160,43.2162
id_161,18.8092
id_162,55.4893
id_163,19.5672
id_164,36.5983
id_165,24.4894
id_166,21.5279
id_167,1.49426
id_168,65.9977
id_169,18.4465
id_170,17.9233
id_171,67.7612
id_172,21.2914
id_173,2.70979
id_174,23.6238
id_175,2.6321
id_176,6.5916
id_177,18.6015
id_178,20.4352
id_179,21.3309
id_180,42.6094
id_181,27.4509
id_182,28.8871
id_183,12.7852
id_184,9.06181
id_185,41.2277
id_186,36.5331
id_187,33.0449
id_188,16.5972
id_189,22.05
id_190,14.7612
id_191,15.0241
id_192,33.1794
id_193,76.7654
id_194,29.7751
id_195,11.7001
id_196,61.2225
id_197,15.3838
id_198,19.94
id_199,23.4904
id_200,124.99
id_201,26.3351
id_202,57.8727
id_203,5.32787
id_204,62.2479
id_205,35.4996
id_206,17.1885
id_207,14.2112
id_208,64.0255
id_209,13.7499
id_210,28.2949
id_211,71.9825
id_212,20.7948
id_213,114.988
id_214,39.8533
id_215,82.9335
id_216,92.0311
id_217,70.3788
id_218,28.9248
id_219,18.9058
id_220,31.8148
id_221,54.9821
id_222,28.721
id_223,40.2325
id_224,43.4485
id_225,7.96193
id_226,4.33313
id_227,69.3355
id_228,28.2161
id_229,2.08003
id_230,40.5075
id_231,15.4089
id_232,21.845
id_233,8.31089
id_234,12.1793
id_235,22.3052
id_236,12.9798
id_237,0.726537
id_238,21.6029
id_239,1.35445
