id,value
id_0,26.6232
id_1,61.3707
id_2,20.4618
id_3,28.2143
id_4,10.5597
id_5,35.9147
id_6,39.2455
id_7,16.641
id_8,47.4743
id_9,33.3462
id_10,38.7445
id_11,58.133
id_12,36.5863
id_13,41.1121
id_14,26.6917
id_15,12.9607
id_16,52.5916
id_17,22.344
id_18,19.315
id_19,19.7777
id_20,15.0303
id_21,28.1132
id_22,36.8199
id_23,9.17435
id_24,57.7747
id_25,44.2877
id_26,28.3356
id_27,9.54529
id_28,29.0229
id_29,35.6342
id_30,18.5568
id_31,12.0237
id_32,16.8526
id_33,6.38612
id_34,18.1781
id_35,39.2407
id_36,19.8036
id_37,28.5854
id_38,6.85558
id_39,59.7439
id_40,47.1368
id_41,16.7831
id_42,49.5837
id_43,18.2002
id_44,43.6499
id_45,50.9188
id_46,61.0198
id_47,39.8609
id_48,50.972
id_49,41.742
id_50,30.1745
id_51,24.6625
id_52,41.0783
id_53,25.3862
id_54,38.3493
id_55,39.736
id_56,24.7611
id_57,21.9757
id_58,37.5169
id_59,31.1593
id_60,15.5749
id_61,23.4965
id_62,31.4356
id_63,54.5603
id_64,48.6003
id_65,26.5962
id_66,40.641
id_67,54.3892
id_68,27.9248
id_69,38.2043
id_70,64.3373
id_71,52.6752
id_72,43.4411
id_73,11.721
id_74,12.0983
id_75,35.3376
id_76,60.1536
id_77,3.58739
id_78,44.1248
id_79,39.8216
id_80,8.28644
id_81,22.3226
id_82,8.17815
id_83,33.9036
id_84,10.9111
id_85,5.82429
id_86,16.5068
id_87,12.1127
id_88,13.4301
id_89,27.7894
id_90,30.5636
id_91,11.6862
id_92,13.8834
id_93,7.98838
id_94,36.4769
id_95,16.4091
id_96,15.7745
id_97,9.08734
id_98,10.9874
id_99,4.33564
id_100,13.2508
id_101,18.5888
id_102,11.4752
id_103,5.76892
id_104,14.1271
id_105,37.1244
id_106,27.6188
id_107,8.35476
id_108,16.8647
id_109,16.62
id_110,14.2381
id_111,17.4342
id_112,13.5212
id_113,28.5022
id_114,22.2199
id_115,15.5605
id_116,9.5331
id_117,44.5653
id_118,29.3668
id_119,1.86438
id_120,2.51251
id_121,12.1665
id_122,15.9956
id_123,15.6548
id_124,6.90635
id_125,26.4378
id_126,21.5559
id_127,13.7653
id_128,20.1659
id_129,18.203
id_130,4.59313
id_131,36.2106
id_132,14.5306
id_133,26.4074
id_134,23.6662
id_135,20.8512
id_136,10.2991
id_137,20.0173
id_138,77.04
id_139,63.6723
id_140,27.2237
id_141,17.3158
id_142,25.1045
id_143,8.52614
id_144,11.1956
id_145,10.7613
id_146,21.5009
id_147,7.86858
id_148,14.158
id_149,17.1818
id_150,51.0043
id_151,21.5313
id_152,24.6014
id_153,15.7466
id_154,14.8053
id_155,27.7548
id_156,21.8588
id_157,34.259
id_158,3.61062
id_159,19.9505
id_160,43.2254
id_161,18.8111
id_162,55.4998
id_163,19.5686
id_164,36.5969
id_165,24.489
id_166,21.5416
id_167,1.50292
id_168,65.9793
id_169,18.4538
id_170,17.9231
id_171,67.7473
id_172,21.3
id_173,2.71642
id_174,23.6112
id_175,2.64465
id_176,6.59314
id_177,18.6014
id_178,20.4296
id_179,21.3342
id_180,42.6097
id_181,27.4516
id_182,28.8745
id_183,12.7864
id_184,9.06472
id_185,41.2248
id_186,36.5288
id_187,33.0549
id_188,16.6093
id_189,22.0467
id_190,14.7706
id_191,15.0356
id_192,33.1791
id_193,76.7488
id_194,29.7645
id_195,11.7029
id_196,61.2137
id_197,15.3826
id_198,19.9422
id_199,23.4911
id_200,124.983
id_201,26.3332
id_202,57.8645
id_203,5.33773
id_204,62.2458
id_205,35.512
id_206,17.1933
id_207,14.2022
id_208,64.0314
id_209,13.7427
id_210,28.2781
id_211,71.9709
id_212,20.7949
id_213,114.947
id_214,39.8644
id_215,82.9393
id_216,92.0396
id_217,70.3739
id_218,28.9268
id_219,18.8908
id_220,31.8164
id_221,54.9807
id_222,28.7266
id_223,40.2246
id_224,43.4389
id_225,7.97485
id_226,4.32381
id_227,69.3297
id_228,28.2239
id_229,2.08789
id_230,40.514
id_231,15.4165
id_232,21.8512
id_233,8.31657
id_234,12.18
id_235,22.3072
id_236,12.9833
id_237,0.729546
id_238,21.5954
id_239,1.35516
