id,value
id_0,27.9653
id_1,61.6243
id_2,20.374
id_3,28.2363
id_4,9.26113
id_5,36.0208
id_6,40.0819
id_7,16.0253
id_8,47.0699
id_9,33.6698
id_10,40.2409
id_11,59.7018
id_12,36.4248
id_13,41.7992
id_14,24.1019
id_15,12.9537
id_16,52.9424
id_17,22.8291
id_18,18.4849
id_19,19.5052
id_20,12.9375
id_21,27.3269
id_22,38.3004
id_23,8.15652
id_24,60.0471
id_25,44.4669
id_26,27.8095
id_27,8.50347
id_28,30.0905
id_29,35.4853
id_30,17.9173
id_31,10.7783
id_32,16.8981
id_33,2.37493
id_34,19.2233
id_35,38.8398
id_36,20.5954
id_37,28.5416
id_38,3.1465
id_39,59.688
id_40,47.0228
id_41,18.211
id_42,51.2631
id_43,19.1163
id_44,43.861
id_45,51.2271
id_46,61.1595
id_47,41.6713
id_48,52.1176
id_49,41.712
id_50,31.6471
id_51,25.3238
id_52,40.7938
id_53,27.0228
id_54,39.0088
id_55,40.4384
id_56,26.2028
id_57,22.8882
id_58,37.4054
id_59,32.1781
id_60,13.0401
id_61,22.8227
id_62,32.6798
id_63,56.5662
id_64,50.3979
id_65,28.0248
id_66,41.693
id_67,54.1918
id_68,29.3678
id_69,37.9643
id_70,65.1907
id_71,53.2416
id_72,45.0827
id_73,8.92541
id_74,11.8716
id_75,34.345
id_76,61.3206
id_77,1.84486
id_78,43.587
id_79,40.3574
id_80,7.17511
id_81,21.8833
id_82,6.0122
id_83,33.9138
id_84,10.358
id_85,3.50001
id_86,14.2558
id_87,11.0296
id_88,13.7966
id_89,27.3247
id_90,29.1017
id_91,9.62235
id_92,14.1814
id_93,6.75529
id_94,35.5431
id_95,16.6431
id_96,14.6824
id_97,6.48162
id_98,8.78697
id_99,3.17447
id_100,12.2044
id_101,19.008
id_102,8.99129
id_103,3.66085
id_104,14.1744
id_105,36.1339
id_106,27.632
id_107,8.59453
id_108,15.7968
id_109,15.3618
id_110,13.6818
id_111,16.1725
id_112,12.8955
id_113,27.1123
id_114,23.1353
id_115,14.6953
id_116,10.393
id_117,44.401
id_118,30.7534
id_119,-0.235372
id_120,0.386725
id_121,11.809
id_122,14.5433
id_123,14.354
id_124,4.66091
id_125,27.5779
id_126,23.0246
id_127,11.0635
id_128,19.6512
id_129,15.5331
id_130,1.80752
id_131,36.4516
id_132,15.4836
id_133,27.0427
id_134,24.9164
id_135,21.8219
id_136,10.0687
id_137,20.5961
id_138,78.5541
id_139,62.9632
id_140,27.2979
id_141,15.9532
id_142,25.5642
id_143,7.84899
id_144,12.1223
id_145,7.99956
id_146,22.2782
id_147,6.39813
id_148,13.197
id_149,16.8478
id_150,50.3247
id_151,21.1875
id_152,24.122
id_153,14.8414
id_154,14.2586
id_155,27.7467
id_156,19.7787
id_157,34.822
id_158,1.97848
id_159,17.4202
id_160,44.7117
id_161,19.5519
id_162,57.8448
id_163,19.5909
id_164,38.4009
id_165,25.7943
id_166,22.3042
id_167,-1.57651
id_168,65.1431
id_169,17.1223
id_170,17.507
id_171,69.0366
id_172,18.6557
id_173,1.2315
id_174,24.481
id_175,-0.347586
id_176,6.13585
id_177,19.1033
id_178,21.7771
id_179,20.7676
id_180,44.4949
id_181,26.4863
id_182,30.4144
id_183,12.0877
id_184,7.3093
id_185,42.9986
id_186,38.1404
id_187,32.6607
id_188,15.1818
id_189,22.3772
id_190,13.7596
id_191,12.4274
id_192,34.32
id_193,71.7826
id_194,29.9043
id_195,11.8573
id_196,62.7038
id_197,15.0084
id_198,18.4958
id_199,24.714
id_200,124.376
id_201,27.8852
id_202,59.8052
id_203,5.37335
id_204,62.3471
id_205,34.4941
id_206,16.6606
id_207,15.2512
id_208,63.2545
id_209,11.3655
id_210,29.4385
id_211,68.0728
id_212,20.7022
id_213,57.8602
id_214,39.0267
id_215,72.8889
id_216,94.6253
id_217,71.2798
id_218,28.7243
id_219,18.6972
id_220,33.0109
id_221,54.8917
id_222,29.7704
id_223,40.1155
id_224,43.9131
id_225,5.97724
id_226,3.98653
id_227,71.0609
id_228,28.4778
id_229,-1.19098
id_230,39.0409
id_231,14.8616
id_232,21.5644
id_233,7.05059
id_234,10.5229
id_235,20.5833
id_236,11.0518
id_237,-1.1199
id_238,22.8963
id_239,-0.787263
